Time [s],Channel 3
57.232078562,2.556
57.232878562,2.556
57.233678562,2.562
57.234478562,2.556
57.235278562,2.556
57.236078562,2.556
57.236878562,2.556
57.237678562,2.546
57.238478562,2.556
57.239278562,2.556
57.240078562,2.562
57.240878562,2.556
57.241678562,2.556
57.242478562,2.556
57.243278562,2.556
57.244078562,2.556
57.244878562,2.562
57.245678562,2.556
57.246478562,2.562
57.247278562,2.556
57.248078562,2.562
57.248878562,2.556
57.249678562,2.562
57.250478562,2.562
57.251278562,2.556
57.252078562,2.562
57.252878562,2.562
57.253678562,2.556
57.254478562,2.556
57.255278562,2.556
57.256078562,2.556
57.256878562,2.556
57.257678562,2.556
57.258478562,2.562
57.259278562,2.562
57.260078562,2.562
57.260878562,2.562
57.261678562,2.556
57.262478562,2.562
57.263278562,2.556
57.264078562,2.562
57.264878562,2.556
57.265678562,2.556
57.266478562,2.562
57.267278562,2.556
57.268078562,2.556
57.268878562,2.556
57.269678562,2.556
57.270478562,2.562
57.271278562,2.562
57.272078562,2.562
57.272878562,2.562
57.273678562,2.556
57.274478562,2.562
57.275278562,2.562
57.276078562,2.556
57.276878562,2.562
57.277678562,2.556
57.278478562,2.562
57.279278562,2.556
57.280078562,2.562
57.280878562,2.556
57.281678562,2.562
57.282478562,2.562
57.283278562,2.556
57.284078562,2.562
57.284878562,2.562
57.285678562,2.556
57.286478562,2.562
57.287278562,2.562
57.288078562,2.556
57.288878562,2.556
57.289678562,2.562
57.290478562,2.562
57.291278562,2.556
57.292078562,2.556
57.292878562,2.556
57.293678562,2.556
57.294478562,2.562
57.295278562,2.562
57.296078562,2.562
57.296878562,2.556
57.297678562,2.562
57.298478562,2.562
57.299278562,2.562
57.300078562,2.562
57.300878562,2.562
57.301678562,2.562
57.302478562,2.556
57.303278562,2.562
57.304078562,2.556
57.304878562,2.562
57.305678562,2.556
57.306478562,2.556
57.307278562,2.562
57.308078562,2.562
57.308878562,2.556
57.309678562,2.562
57.310478562,2.556
57.311278562,2.562
57.312078562,2.562
57.312878562,2.562
57.313678562,2.562
57.314478562,2.562
57.315278562,2.556
57.316078562,2.556
57.316878562,2.562
57.317678562,2.562
57.318478562,2.562
57.319278562,2.556
57.320078562,2.556
57.320878562,2.562
57.321678562,2.562
57.322478562,2.556
57.323278562,2.562
57.324078562,2.562
57.324878562,2.562
57.325678562,2.562
57.326478562,2.556
57.327278562,2.556
57.328078562,2.556
57.328878562,2.562
57.329678562,2.562
57.330478562,2.556
57.331278562,2.562
57.332078562,2.556
57.332878562,2.556
57.333678562,2.562
57.334478562,2.562
57.335278562,2.562
57.336078562,2.556
57.336878562,2.562
57.337678562,2.556
